17:14:21 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:14:21] Finished test automation <--
17:18:16 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:18:16] Starting the test automation <--
17:18:24 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
17:18:24 INFO  testCases.AccountOverviewTest - Registering new user
17:18:26 INFO  testCases.AccountOverviewTest - Opened account overview page
17:18:29 INFO  testCases.AccountOverviewTest - Validating the total balance
17:18:29 INFO  testCases.AccountOverviewTest - Test is passed
17:18:29 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
17:18:29 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
17:18:29 INFO  testCases.AccountOverviewTest - Creating new account
17:18:33 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
17:18:36 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
17:18:36 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
17:18:39 INFO  testCases.AccountOverviewTest - Validating the success message
17:18:39 INFO  testCases.AccountOverviewTest - Test is passed
17:18:39 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
17:18:39 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
17:18:39 INFO  testCases.AccountOverviewTest - Opening account overview
17:18:43 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
17:18:44 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:18:44] Finished test automation <--
17:31:35 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:31:35] Starting the test automation <--
17:32:16 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:32:16] Starting the test automation <--
17:33:16 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
17:33:16 INFO  testCases.AccountOverviewTest - Registering new user
17:33:19 INFO  testCases.AccountOverviewTest - Opened account overview page
17:33:22 INFO  testCases.AccountOverviewTest - Validating the total balance
17:33:22 INFO  testCases.AccountOverviewTest - Test is passed
17:33:22 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
17:33:22 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
17:33:22 INFO  testCases.AccountOverviewTest - Creating new account
17:33:25 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
17:33:28 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
17:33:28 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
17:33:31 INFO  testCases.AccountOverviewTest - Validating the success message
17:33:32 INFO  testCases.AccountOverviewTest - Test is passed
17:33:32 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
17:33:32 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
17:33:32 INFO  testCases.AccountOverviewTest - Opening account overview
17:33:35 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
17:33:35 ERROR testCases.AccountOverviewTest - Test failedjavax.imageio.IIOException: Can't create an ImageOutputStream!
17:33:36 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:33:36] Finished test automation <--
17:35:16 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:35:16] Starting the test automation <--
17:35:26 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
17:35:26 INFO  testCases.AccountOverviewTest - Registering new user
17:35:28 INFO  testCases.AccountOverviewTest - Opened account overview page
17:35:31 INFO  testCases.AccountOverviewTest - Validating the total balance
17:35:31 INFO  testCases.AccountOverviewTest - Test is passed
17:35:31 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
17:35:31 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
17:35:31 INFO  testCases.AccountOverviewTest - Creating new account
17:35:35 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
17:35:38 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
17:35:38 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
17:35:41 INFO  testCases.AccountOverviewTest - Validating the success message
17:35:41 INFO  testCases.AccountOverviewTest - Test is passed
17:35:41 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
17:35:41 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
17:35:41 INFO  testCases.AccountOverviewTest - Opening account overview
17:35:45 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
17:35:45 ERROR testCases.AccountOverviewTest - Test failedjavax.imageio.IIOException: Can't create an ImageOutputStream!
17:35:46 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:35:46] Finished test automation <--
17:36:30 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:36:30] Starting the test automation <--
17:36:37 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
17:36:37 INFO  testCases.AccountOverviewTest - Registering new user
17:36:39 INFO  testCases.AccountOverviewTest - Opened account overview page
17:36:42 INFO  testCases.AccountOverviewTest - Validating the total balance
17:36:42 INFO  testCases.AccountOverviewTest - Test is passed
17:36:42 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
17:36:42 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
17:36:42 INFO  testCases.AccountOverviewTest - Creating new account
17:36:46 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
17:36:49 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
17:36:49 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
17:36:52 INFO  testCases.AccountOverviewTest - Validating the success message
17:36:52 INFO  testCases.AccountOverviewTest - Test is passed
17:36:52 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
17:36:52 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
17:36:52 INFO  testCases.AccountOverviewTest - Opening account overview
17:36:56 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
17:36:57 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:36:57] Finished test automation <--
17:42:53 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:42:53] Starting the test automation <--
17:43:01 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
17:43:01 INFO  testCases.AccountOverviewTest - Registering new user
17:43:04 INFO  testCases.AccountOverviewTest - Opened account overview page
17:43:07 INFO  testCases.AccountOverviewTest - Validating the total balance
17:43:07 INFO  testCases.AccountOverviewTest - Test is passed
17:43:07 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
17:43:07 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
17:43:07 INFO  testCases.AccountOverviewTest - Creating new account
17:43:11 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
17:43:14 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
17:43:14 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
17:43:17 INFO  testCases.AccountOverviewTest - Validating the success message
17:43:17 INFO  testCases.AccountOverviewTest - Test is passed
17:43:17 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
17:43:17 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
17:43:17 INFO  testCases.AccountOverviewTest - Opening account overview
17:43:21 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
17:43:22 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:43:22] Finished test automation <--
17:45:12 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:45:12] Starting the test automation <--
17:45:21 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
17:45:21 INFO  testCases.AccountOverviewTest - Registering new user
17:45:23 INFO  testCases.AccountOverviewTest - Opened account overview page
17:45:26 INFO  testCases.AccountOverviewTest - Validating the total balance
17:45:27 INFO  testCases.AccountOverviewTest - Test is passed
17:45:27 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
17:45:27 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
17:45:27 INFO  testCases.AccountOverviewTest - Creating new account
17:45:30 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
17:45:33 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
17:45:33 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
17:45:36 INFO  testCases.AccountOverviewTest - Validating the success message
17:45:36 INFO  testCases.AccountOverviewTest - Test is passed
17:45:36 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
17:45:36 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
17:45:36 INFO  testCases.AccountOverviewTest - Opening account overview
17:45:40 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
17:45:42 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:45:42] Finished test automation <--
17:47:12 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:47:12] Starting the test automation <--
17:47:20 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
17:47:20 INFO  testCases.AccountOverviewTest - Registering new user
17:47:23 INFO  testCases.AccountOverviewTest - Opened account overview page
17:47:26 INFO  testCases.AccountOverviewTest - Validating the total balance
17:47:26 INFO  testCases.AccountOverviewTest - Test is passed
17:47:26 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
17:47:26 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
17:47:26 INFO  testCases.AccountOverviewTest - Creating new account
17:47:30 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
17:47:33 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
